City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,San Cristobal,7.77,-72.22,70.25,61,75,1.14,VE,2020-04-12 01:18:59
124,Sept-Iles,50.2,-66.38,36.0,47,20,8.05,CA,2020-04-12 01:14:02
125,Daru,-9.08,143.21,83.8,74,90,10.2,PG,2020-04-12 01:17:29
126,Pasrur,32.26,74.66,66.2,82,40,2.84,PK,2020-04-12 01:18:59
127,Brae,60.4,-1.35,44.6,81,100,27.51,GB,2020-04-12 01:19:00
128,Saskylakh,71.92,114.08,1.02,90,12,12.59,RU,2020-04-12 01:19:00
129,Havoysund,71.0,24.66,28.4,74,82,2.24,NO,2020-04-12 01:19:01
130,Teguldet,57.31,88.17,30.92,94,0,4.63,RU,2020-04-12 01:19:01
131,Husavik,66.04,-17.34,32.0,96,90,24.16,IS,2020-04-12 01:19:02
132,Port-Gentil,-0.72,8.78,79.16,83,100,14.74,GA,2020-04-12 01:19:02
133,Hithadhoo,-0.6,73.08,84.31,69,15,9.22,MV,2020-04-12 01:19:02
134,Eyl,7.98,49.82,83.01,70,29,8.61,SO,2020-04-12 01:19:02
135,Whitefish,48.41,-114.34,33.8,34,90,18.34,US,2020-04-12 01:19:03
136,Dingle,11.0,122.67,81.82,71,40,5.64,PH,2020-04-12 01:19:03
137,Bathsheba,13.22,-59.52,80.6,69,75,16.11,BB,2020-04-12 01:19:04
138,Salym,60.06,71.48,33.82,90,58,4.79,RU,2020-04-12 01:19:04
139,Buala,-8.14,159.59,83.97,73,91,5.44,SB,2020-04-12 01:19:05
140,San Juan,-31.54,-68.54,72.82,35,82,9.62,AR,2020-04-12 01:17:27
141,Qasigiannguit,68.82,-51.19,26.6,73,89,14.99,GL,2020-04-12 01:19:05
142,Ust-Omchug,61.15,149.63,22.32,87,82,3.4,RU,2020-04-12 01:19:05
143,Coahuayana,18.73,-103.68,82.4,58,20,11.41,MX,2020-04-12 01:19:05
144,Eureka,40.8,-124.16,55.99,76,90,11.41,US,2020-04-12 01:15:45
145,Batagay-Alyta,67.8,130.41,25.52,87,90,4.29,RU,2020-04-12 01:19:06
146,Mucurapo,10.67,-61.53,79.0,78,20,5.82,TT,2020-04-12 01:18:30
147,Fortuna,40.6,-124.16,55.99,76,90,11.41,US,2020-04-12 01:19:06
148,Hobyo,5.35,48.53,82.09,74,10,10.85,SO,2020-04-12 01:19:06
149,General Roca,-39.03,-67.58,53.6,71,56,13.91,AR,2020-04-12 01:19:07
150,Pevek,69.7,170.31,9.86,91,54,14.79,RU,2020-04-12 01:19:07
151,Talara,-4.58,-81.27,77.74,66,53,7.63,PE,2020-04-12 01:19:07
152,Rawson,-43.3,-65.1,55.98,38,0,5.28,AR,2020-04-12 01:15:25
153,Aykhal,66.0,111.5,26.6,68,77,8.95,RU,2020-04-12 01:19:08
